City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,qaqortoq,60.7167,-46.0333,39.61,78,17,4.7,GL,2023-06-07 12:44:46
70,peniche,39.3558,-9.3811,77.07,82,29,17.92,PT,2023-06-07 12:44:46
71,san jose del cabo,23.0589,-109.6977,87.08,59,0,13.8,MX,2023-06-07 12:43:39
72,moissala,8.3404,17.7663,78.3,77,100,3.24,TD,2023-06-07 12:44:47
73,st. john's,47.5649,-52.7093,54.68,96,100,3.44,CA,2023-06-07 12:42:22
74,lerwick,60.1545,-1.1494,53.6,80,100,7.7,GB,2023-06-07 12:44:08
75,bima,-8.4667,118.7167,72.88,95,35,4.36,ID,2023-06-07 12:42:57
76,bushehr,28.9684,50.8385,91.49,49,0,9.22,IR,2023-06-07 12:44:48
77,bilibino,68.0546,166.4372,50.07,52,17,4.59,RU,2023-06-07 12:40:32
78,codrington,-38.2667,141.9667,51.06,94,28,9.15,AU,2023-06-07 12:44:48
79,mil'kovo,55.6078,37.7956,64.6,78,56,8.3,RU,2023-06-07 12:41:01
80,isangel,-19.55,169.2667,69.22,62,61,10.69,VU,2023-06-07 12:42:13
81,port antonio,18.18,-76.4612,89.51,76,86,14.54,JM,2023-06-07 12:44:49
82,georgetown,5.4112,100.3354,84.13,87,20,3.44,MY,2023-06-07 12:41:11
83,ljusdal,61.8288,16.0913,60.75,51,91,1.19,SE,2023-06-07 12:44:49
84,gadzhiyevo,69.2551,33.3362,40.93,72,98,2.57,RU,2023-06-07 12:40:17
85,yacuiba,-22.038,-63.6797,79.57,69,40,5.75,BO,2023-06-07 12:44:50
86,papatowai,-46.5619,169.4708,39.58,90,38,4.72,NZ,2023-06-07 12:44:50
87,howrah,22.5892,88.3103,87.8,79,40,10.36,IN,2023-06-07 12:44:50
88,taghazout,30.5426,-9.7112,79.57,73,100,6.98,MA,2023-06-07 12:44:51
89,ugoofaaru,5.6667,73.0,83.93,82,100,15.1,MV,2023-06-07 12:44:51
90,avarua,-21.2078,-159.775,73.45,78,20,6.91,CK,2023-06-07 12:44:51
91,cabo san lucas,22.8909,-109.9124,87.1,50,0,12.66,MX,2023-06-07 12:44:51
92,bredasdorp,-34.5322,20.0403,56.35,71,65,5.28,ZA,2023-06-07 12:40:30
93,kalianget,-7.05,113.9333,80.46,80,18,11.03,ID,2023-06-07 12:44:52
94,ulladulla,-35.35,150.4667,52.77,88,75,8.21,AU,2023-06-07 12:44:52
95,mogadishu,2.0371,45.3438,79.5,82,95,15.68,SO,2023-06-07 12:44:53
96,winfield,37.2398,-96.9956,85.44,53,0,1.01,US,2023-06-07 12:44:53
97,edinburgh of the seven seas,-37.0676,-12.3116,59.5,83,54,23.78,SH,2023-06-07 12:40:18
98,klyuchi,52.2667,79.1667,73.45,46,70,8.34,RU,2023-06-07 12:40:40
99,singkil,-7.9855,111.4161,75.16,94,93,3.98,ID,2023-06-07 12:44:54
100,san antonio de pale,-1.4014,5.6325,77.34,76,99,12.5,GQ,2023-06-07 12:42:55
101,petropavlovsk-kamchatsky,53.0452,158.6483,39.79,87,75,2.24,RU,2023-06-07 12:44:54
102,piti village,13.4626,144.6933,81.48,88,0,6.91,GU,2023-06-07 12:44:54
103,new norfolk,-42.7826,147.0587,57.88,84,100,1.99,AU,2023-06-07 12:44:54
104,guatrache,-37.6678,-63.5302,65.23,21,79,11.25,AR,2023-06-07 12:44:55
105,vilyuchinsk,52.9306,158.4028,41.27,85,43,3.42,RU,2023-06-07 12:44:55
106,dabakala,8.3667,-4.4333,80.58,77,81,7.63,CI,2023-06-07 12:44:55
107,longyearbyen,78.2186,15.6401,39.04,70,0,4.61,SJ,2023-06-07 12:44:56
108,guerrero negro,27.9769,-114.0611,66.78,56,74,16.44,MX,2023-06-07 12:44:56
109,ribeira grande,38.5167,-28.7,70.2,60,40,10.36,PT,2023-06-07 12:40:39
110,portland,45.5234,-122.6762,73.2,53,75,8.05,US,2023-06-07 12:44:56
111,aleksandrovsk-sakhalinskiy,50.8975,142.1561,49.42,94,86,2.39,RU,2023-06-07 12:44:56
112,parauapebas,-6.0675,-49.9022,89.58,54,40,5.75,BR,2023-06-07 12:44:57
113,airuk,7.2772,168.8203,81.46,81,100,9.57,MH,2023-06-07 12:44:57
114,udachny,66.4167,112.4,48.45,61,63,2.39,RU,2023-06-07 12:44:57
115,igrim,63.1906,64.4162,54.37,56,99,9.75,RU,2023-06-07 12:44:58
116,blackfoot,43.1905,-112.345,77.05,47,72,2.46,US,2023-06-07 12:44:58
117,nuuk,64.1835,-51.7216,36.21,64,75,11.5,GL,2023-06-07 12:42:35
